21 81
-1.591422595083714e-02 -4.443052038550377e-02 0.000000000000000e+00
-1.659013854129100e-02 -4.341549095345053e-02 0.000000000000000e+00
-1.726003894167404e-02 -4.239648536239127e-02 0.000000000000000e+00
-1.792366203802976e-02 -4.137338127559916e-02 0.000000000000000e+00
-1.858072191077883e-02 -4.034604897885215e-02 0.000000000000000e+00
-1.923000483001772e-02 -3.931378460921327e-02 0.000000000000000e+00
-1.987168843065762e-02 -3.827678031235475e-02 0.000000000000000e+00
-2.050578639266759e-02 -3.723512064528506e-02 0.000000000000000e+00
-2.113129732335213e-02 -3.618828272060449e-02 0.000000000000000e+00
-2.174748831142445e-02 -3.513593195303787e-02 0.000000000000000e+00
-2.235494977494878e-02 -3.407851861196862e-02 0.000000000000000e+00
-2.295203908868470e-02 -3.301521584677770e-02 0.000000000000000e+00
-2.353875336744613e-02 -3.194615296300029e-02 0.000000000000000e+00
-2.411503312813504e-02 -3.087143050532672e-02 0.000000000000000e+00
-2.467882490170116e-02 -2.979010413899513e-02 0.000000000000000e+00
-2.523164689830816e-02 -2.870312857674043e-02 0.000000000000000e+00
-2.577021537678642e-02 -2.760902173766844e-02 0.000000000000000e+00
-2.629675717980370e-02 -2.650907697611728e-02 0.000000000000000e+00
-2.680760064039515e-02 -2.540175534150790e-02 0.000000000000000e+00
-2.730483572816256e-02 -2.428826028387770e-02 0.000000000000000e+00
-2.778532405450150e-02 -2.316743531750677e-02 0.000000000000000e+00
-2.824997840981506e-02 -2.203996209410004e-02 0.000000000000000e+00
-2.869744994022320e-02 -2.090555365207357e-02 0.000000000000000e+00
-2.912613093217153e-02 -1.976391863341181e-02 0.000000000000000e+00
-2.953673335339748e-02 -1.861565948644166e-02 0.000000000000000e+00
-2.992706760460762e-02 -1.746034726869849e-02 0.000000000000000e+00
-3.029634482541796e-02 -1.629814266601277e-02 0.000000000000000e+00
-3.064471082073753e-02 -1.512950348682359e-02 0.000000000000000e+00
-3.097100787205706e-02 -1.395450051451077e-02 0.000000000000000e+00
-3.127274382650372e-02 -1.277295471808016e-02 0.000000000000000e+00
-3.155082027614160e-02 -1.158563164722407e-02 0.000000000000000e+00
-3.180436466561343e-02 -1.039283075634476e-02 0.000000000000000e+00
-3.203254690412310e-02 -9.194910543314392e-03 0.000000000000000e+00
-3.223361855632196e-02 -7.992138023530873e-03 0.000000000000000e+00
-3.240733280378468e-02 -6.785120769858806e-03 0.000000000000000e+00
-3.255363501378631e-02 -5.574484496577620e-03 0.000000000000000e+00
-3.267199288120660e-02 -4.360800055994974e-03 0.000000000000000e+00
-3.276194974890853e-02 -3.144676933199594e-03 0.000000000000000e+00
-3.282316958558422e-02 -1.926759490173819e-03 0.000000000000000e+00
-3.285476440106352e-02 -7.077076531324757e-04 0.000000000000000e+00
-3.285668505542991e-02 5.117450141509383e-04 0.000000000000000e+00
-3.282950836292479e-02 1.730886846076482e-03 0.000000000000000e+00
-3.277333883088085e-02 2.949032966730689e-03 0.000000000000000e+00
-3.268839764652560e-02 4.165512687026357e-03 0.000000000000000e+00
-3.257500470952761e-02 5.379677902983413e-03 0.000000000000000e+00
-3.243360134888202e-02 6.590914085261378e-03 0.000000000000000e+00
-3.226329020355907e-02 7.798425759925702e-03 0.000000000000000e+00
-3.206601493186720e-02 9.001814287724657e-03 0.000000000000000e+00
-3.184251253616282e-02 1.020060429412792e-02 0.000000000000000e+00
-3.159354155838742e-02 1.139436961532247e-02 0.000000000000000e+00
-3.131986192921162e-02 1.258272847826510e-02 0.000000000000000e+00
-3.102056387484076e-02 1.376489550434984e-02 0.000000000000000e+00
-3.069833321662164e-02 1.494100705001244e-02 0.000000000000000e+00
-3.035409898468167e-02 1.611087089748749e-02 0.000000000000000e+00
-2.998807232381864e-02 1.727411176970260e-02 0.000000000000000e+00
-2.960041928808036e-02 1.843032101779490e-02 0.000000000000000e+00
-2.919359144105778e-02 1.957992046500369e-02 0.000000000000000e+00
-2.876769272129401e-02 2.072260207942679e-02 0.000000000000000e+00
-2.832282373463504e-02 2.185802857632882e-02 0.000000000000000e+00
-2.786157230026855e-02 2.298690152218250e-02 0.000000000000000e+00
-2.738273136867832e-02 2.410843115546582e-02 0.000000000000000e+00
-2.688867902378702e-02 2.522333856927102e-02 0.000000000000000e+00
-2.637940222135674e-02 2.633138065735773e-02 0.000000000000000e+00
-2.585579363271993e-02 2.743271916461476e-02 0.000000000000000e+00
-2.531868417925700e-02 2.852754185609200e-02 0.000000000000000e+00
-2.476858267774300e-02 2.961589226597887e-02 0.000000000000000e+00
-2.420611487188544e-02 3.069790716103300e-02 0.000000000000000e+00
-2.363238067053924e-02 3.177398977537005e-02 0.000000000000000e+00
-2.304688797859449e-02 3.284372263075337e-02 0.000000000000000e+00
-2.245174719877360e-02 3.390811880494551e-02 0.000000000000000e+00
-2.184581092680281e-02 3.496640644355729e-02 0.000000000000000e+00
-2.123071356052471e-02 3.601939622959371e-02 0.000000000000000e+00
-2.060720432020965e-02 3.706742891488985e-02 0.000000000000000e+00
-1.997420543989080e-02 3.810975785146685e-02 0.000000000000000e+00
-1.933349731328866e-02 3.914736486573570e-02 0.000000000000000e+00
-1.868549003223283e-02 4.018043012060636e-02 0.000000000000000e+00
-1.802991065393071e-02 4.120870743838562e-02 0.000000000000000e+00
-1.736715205127992e-02 4.223237250826796e-02 0.000000000000000e+00
-1.669808656734645e-02 4.325192605541423e-02 0.000000000000000e+00
